Income,Age,Gender,Education,Wealth,Consumption
0,64,1,2,0,18600.541
0,64,2,2,0,34505.782
0,38,2,3,400000,26477.78
20511,48,1,3,0,14327.994
14350,44,1,3,0,33681.305
11239,48,1,8,0,27045.749
9809,41,1,0,0,15036.898
0,52,2,1,0,8148.573
14713,39,1,0,16000,21169.166
26064,52,1,2,18000,20579.122
0,74,1,0,1500,6553.5105
0,41,1,2,2000,24124.798
0,53,1,2,0,17150.916
14831,63,1,2,1000,41161.769
42713,49,1,2,0,15114.916
23613,44,1,2,0,19357.606
22706,43,1,3,0,37266.951
26428,47,1,2,1000,32788.077
13214,35,1,2,0,18291.264
21740,58,1,3,18000,32124.785
1021,63,2,1,0,20677.071
0,44,1,1,0,23142.751
0,83,1,1,0,25570.765
0,37,1,3,0,36681.734
0,36,1,2,5000,38527.108
29616,62,1,0,0,18086.1775
18276,37,1,1,0,19962.735
20275,70,2,3,0,83418.66
20251,91,2,0,0,16036.884
16706,67,2,3,60000,18042.989
15188,46,1,2,0,14136.537
21434,50,2,1,0,21086.7893
39501,58,1,1,0,17809.0456
0,51,2,2,0,12662.3081
16875,45,1,2,0,14136.1016
3286,65,2,0,0,14679.0456
8353,39,1,3,0,20389.097
32076,70,1,3,0,12191.904
34318,60,2,0,0,20019.7943
34902,45,1,3,0,23338.018
9703,76,2,1,0,21562.15
0,49,1,2,0,17902.118
0,48,1,3,0,33409.329
30907,58,1,2,0,21836.082
0,48,2,3,0,15824.01
34916,72,2,0,0,9143.4853
15352,51,1,2,0,17843.1483
0,43,1,2,0,24234.3477
0,47,1,2,0,16070.6386
84349,54,1,2,0,17641.165
3263,46,2,2,0,14472.736
0,41,1,2,0,19323.2705
18754,37,1,2,0,22239.421
0,39,2,3,0,21235.036
18043,46,1,2,0,25535.798
97823,45,1,2,0,27965.311
36862,34,2,1,0,17846.9153
45297,74,2,0,0,15045.4575
0,61,1,2,0,16125.1908
0,71,2,0,0,5463.1591
0,56,1,2,0,31676.901
0,45,1,3,0,18615.353
8943,42,1,2,0,13654.3104
0,52,1,1,0,19565.701
43822,70,1,1,0,13331.5304
0,43,1,3,0,16691.4963
0,42,1,2,0,30204.061
15052,38,1,2,0,34346.275
0,32,1,2,0,46332.658
19190,49,1,8,0,24777.469
0,47,2,2,0,13544.4193
0,46,1,3,0,49528.606
5147,51,1,2,0,26636.21
0,78,1,2,0,33488.52
24826,45,1,2,0,35605.392
9188,40,2,2,0,11426.9497
37671,36,1,1,0,25205.41
8028,45,2,2,0,49595.384
4859,56,2,0,0,16772.242
0,57,2,2,0,14765.3262
0,80,2,0,0,4412.2329
0,55,1,2,0,10336.5015
3132,49,2,0,0,19243.844
0,55,1,2,0,24334.198
32979,39,1,0,0,18909.9165
0,44,1,1,0,20322.628
0,54,1,3,0,12885.6935
18984,49,1,3,0,40965.035
0,31,1,3,0,21280.021
0,48,1,3,3000,106642.791
0,69,1,1,0,8589.1565
10523,70,1,2,2500,43979.102
0,65,2,1,0,12529.0966
18299,43,1,2,0,20354.602
0,58,2,0,0,8371.819
0,58,2,0,0,15204.2671
36598,57,1,2,0,58101.342
0,54,1,1,0,13773.1767
90275,44,1,1,0,48142.458
16926,45,1,1,0,30421.785
0,52,1,3,0,27247.077
24399,40,1,2,0,21868.872
17791,59,1,1,0,25248.2383
29380,45,1,2,0,64169.379
15961,68,1,2,0,26772.377
34125,56,1,2,0,16364.7784
0,64,1,2,0,15510.596
22447,43,1,2,20000,21232.738
0,72,1,0,0,13410.494
0,36,1,2,0,21475.838
33937,43,1,2,0,29120.801
34603,50,1,3,0,35028.084
58951,42,1,3,0,183706.895
31242,50,1,2,0,35589.549
35402,61,1,2,0,54465.978
32832,68,2,0,0,45850.617
0,61,1,1,0,29923.464
9487,56,2,1,0,25840.859
0,38,1,3,0,59806.125
0,53,1,3,0,50084.487
19000,50,1,2,0,15817.6605
0,36,1,1,0,19754.2125
0,30,1,1,0,19501.214
25789,44,2,2,0,55586.668
8860,68,1,2,0,35933.748
22515,48,1,2,0,27332.979
14415,49,1,2,0,28074.678
12351,34,1,1,8000,38221.137
37146,49,1,2,0,45826.588
22527,29,1,3,0,37915.107
5935,28,1,1,0,22841.472
26838,42,1,1,0,62471.685
16498,48,2,1,0,32155.88
40216,62,1,3,0,29386.597
0,49,2,1,0,3052.66947
0,35,1,1,0,15197.036
0,53,1,2,0,50974.906
42649,51,1,1,0,24837.838
61622,39,1,2,0,28991.065
0,73,2,0,0,2779.71694
0,74,2,0,0,8148.1775
10957,60,1,2,0,13456.4425
0,71,1,0,0,2038.70376
4994,65,1,3,2100,36397.599
0,65,2,0,10000,31644.072
2670,53,1,1,10000,74613.963
13623,47,1,0,0,16143.651
11535,47,1,2,0,28498.305
37037,32,1,1,0,20149.659
18074,43,1,2,0,36732.806
0,55,2,0,0,32436.412
6371,34,1,2,40000,17629.873
41545,66,1,1,0,28841.571
26299,45,1,2,0,30427.028
22455,47,1,3,0,48815.166
0,73,1,3,0,24742.8
33846,35,1,2,0,21950.993
38461,44,1,2,0,43860.74
0,42,1,2,0,21684.462
33218,50,1,2,0,51035.265
0,49,1,2,0,26327.089
0,30,2,2,0,31501.693
26338,48,1,1,0,26288.263
36347,37,1,1,0,18548.006
5699,33,1,2,0,34202.269
